Type,Iteration,Value,Parameter1,Parameter2
GD,0,48.4857,0.753,-0.832
GD,5,169.0634,2.0,-0.655
GD,10,165.2839,2.0,2.0
GD,15,165.2839,2.0,2.0
GD,20,165.2839,2.0,2.0
GD,25,165.2839,2.0,2.0
GD,30,165.2839,2.0,2.0
GD,35,165.2839,2.0,2.0
GD,40,165.2839,2.0,2.0
GD,45,165.2839,2.0,2.0
GD,50,165.2839,2.0,2.0
GD,55,165.2839,2.0,2.0
GD,60,165.2839,2.0,2.0
GD,65,165.2839,2.0,2.0
GD,70,165.2839,2.0,2.0
GD,75,165.2839,2.0,2.0
GD,80,165.2839,2.0,2.0
GD,85,165.2839,2.0,2.0
GD,90,165.2839,2.0,2.0
GD,95,165.2839,2.0,2.0
NES,0,96.5295,1.139,1.932
NES,5,63.8607,0.879,1.913
NES,10,28.9612,0.642,1.899
NES,15,5.4387,0.488,1.879
NES,20,4.5522,0.468,1.874
NES,25,4.9204,0.484,1.86
NES,30,6.0026,0.495,1.855
NES,35,5.1796,0.489,1.842
NES,40,4.3063,0.466,1.83
NES,45,3.917,0.48,1.787
NES,50,4.4243,0.489,1.776
NES,55,4.9529,0.495,1.759
NES,60,3.5418,0.481,1.748
NES,65,3.7541,0.489,1.715
NES,70,4.5792,0.497,1.711
NES,75,4.1188,0.494,1.697
NES,80,4.3294,0.495,1.703
NES,85,2.8087,0.48,1.677
NES,90,2.7102,0.477,1.669
NES,95,2.8528,0.485,1.66
