method,dimension,population,final_error,final_objective,iterations,time
GD,2,1,9.859306828730041e-07,9.72059347077725e-13,724,0.6878764629364014
NES (pop=50),2,50,3.193310112692416e-05,4.6931961605878314e-07,5000,8.435951232910156
NES (pop=500),2,500,0.0016426756046712399,3.876337814290309e-06,5000,8.502312660217285
GD,5,1,9.800902489587315e-07,9.605768871295828e-13,718,0.6697788238525391
NES (pop=50),5,50,0.00013080911594443023,1.876557718105687e-07,5000,8.159464120864868
NES (pop=500),5,500,0.0013430635444819927,2.346459496038733e-06,5000,8.368287801742554
GD,10,1,9.925659014697885e-07,9.851869754023967e-13,725,0.6709442138671875
NES (pop=50),10,50,0.0002747391117736697,1.6148317172337556e-06,5000,8.179967641830444
NES (pop=500),10,500,0.0011090143816545606,1.5946659459586954e-06,5000,8.613929271697998
GD,25,1,9.802186013985192e-07,9.608284220335994e-13,769,0.7321779727935791
NES (pop=50),25,50,0.0009078342118300498,2.205152668466326e-06,5000,8.4652259349823
NES (pop=500),25,500,0.0009158041793853045,1.8536910602051648e-06,5000,9.488754034042358
